channel_id,video_id,comment_id,date,author,comment_text,sentiment
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugy1V0454Q_wvRkjF6d4AaABAg,2023-02-07T02:09:01Z,speedy gonzalez,der wiedert mich an,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgybIA7ooTVq5S0S2j54AaABAg,2022-12-12T06:11:47Z,Maximilian Gehrer,Scheiß kickel norbert hoffer ist besser,negative
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyZWz7kx3jsfX7Y6sh4AaABAg.9jXAhWWIQd09nsVVDDKh_X,2023-03-30T08:21:02Z,Léo Mutombo,https://www.youtube.com/watch?v=fK04nsYjp-U,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgwxmxctRDkRNvp5AtN4AaABAg,2022-12-12T06:08:15Z,Maximilian Gehrer,Strache war in bregenz und im bregenzerwald,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgxgvnUujikaDGUED4l4AaABAg,2022-12-12T06:07:36Z,Maximilian Gehrer,Scheiße das es so viele parteien es gibt,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgwmxaNmdugnZM5RWNl4AaABAg,2022-12-12T06:06:22Z,Maximilian Gehrer,Zum glück du als strache ich bin die fpö,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugypev5Jcnx-I7g1JGV4AaABAg,2022-12-12T06:03:51Z,Maximilian Gehrer,Grün schwartz rot blau ihr seid alle gleich,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgySGTsB6j2_q6iWlPV4AaABAg,2022-09-06T00:53:35Z,David R,Schleich di oida!!!!,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyugxJbOjXCRsPavMh4AaABAg,2022-06-29T19:00:16Z,Lili L,VERBRECHER!,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyVsnZRHOAmeiYnV4p4AaABAg,2022-06-03T11:03:14Z,Rafika Hamdi,🤢🤮,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugwzv5ev53NJ6ECgAfd4AaABAg.9boIgQY7Jea9nsVTeVo4hF,2023-03-30T08:20:49Z,Léo Mutombo,https://www.youtube.com/watch?v=fK04nsYjp-U,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugwzv5ev53NJ6ECgAfd4AaABAg.9boIgQY7Jea9dDGziewic9,2022-07-08T09:32:13Z,Leo Mutombo,https://www.youtube.com/watch?v=qPPiIv96Xpc,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgwJ-YO124LY_ni2PzN4AaABAg.9boH7IfWA7Y9boHIlthcxW,2022-06-03T10:43:18Z,Raf,👏🏼👏🏼👏🏼,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgxO3bgAgkSXDlDuVMB4AaABAg,2022-06-03T10:30:08Z,Lili L,Schämen müssen sie sich eigentlich! Nach allem was sie Österreich angetan haben. Ein reines Chaos hinterlassen und seine Mitläufer hat er nicht mitgenommen!,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyM8GzoFy3Kf92Sc7J4AaABAg,2022-06-03T10:25:54Z,Raf,Endlich samma ihn los! Hat auch genug aufgeführt der Korrupte shorty,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugyabo04h3W_mMVW05J4AaABAg,2022-05-22T01:57:15Z,Thomas Peiker,Dieser Idiot kostet Zeit und Nerven 👍,negative
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugw1mZ1evzmQ3C3Aw_p4AaABAg.9aF_9jEh8Lg9nsVZ2B_Mnv,2023-03-30T08:21:33Z,Léo Mutombo,https://www.youtube.com/watch?v=fK04nsYjp-U,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugw1mZ1evzmQ3C3Aw_p4AaABAg.9aF_9jEh8Lg9fsYJxTXCbo,2022-09-12T12:34:33Z,Leo Mutombo,https://www.youtube.com/watch?v=qPPiIv96Xpc,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyVRt0hdcFwgL7dCpB4AaABAg,2022-04-25T16:57:01Z,Gabriele Sasina,Fuer dich mussre man sich genieren im Ausland… lächerlicher gehts gar nicht 🤮,negative
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugy1tUeniKwlDVs3Uj94AaABAg,2022-04-23T21:38:52Z,Jogurt,Stabile Rede.,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugzkg2RFEFPPwj8U-e14AaABAg.9_uJjTTA6xz9boJeYfwK8d,2022-06-03T11:03:53Z,Rafika Hamdi,Für nichts,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugx-nSYgQnxp-_8Z9Jh4AaABAg.9_VE6AEc4Rk9_ke75u8xG7,2022-04-13T07:51:41Z,Katharina,Italy is NOT neutral...Italy is a NATO member!,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyJDBZBMnbq_k8DSjN4AaABAg,2022-04-06T22:40:20Z,Thomas Boyd,Is it bad in Austria Vienna politically yes Thomas. It Ukraine geo politically Thomas.,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgzXa2qJAa3sYdVCQg94AaABAg,2022-04-03T12:23:58Z,Ost,"Noch dringt Jesu frohe Botschaft
in die dunkle Welt;
noch sind allerorten Boten aufgestellt.
Menschen müssen Menschen sagen,
dass Gott alle liebt,
dass es einen Weg aus Schuld und Elend gibt.Jesus Christus, Heiland und Erlöser,
starb für dich, warb um dich,
der du abseits stehst.
Lass dein Zagen,
lass des Zweifels Fragen,
denn dein Weg wird hell, wenn du mit Jesus gehst.Ehe du geboren wurdest,
hat dich Gott erkannt.
Oft hat dir im Herzen schon sein Wort gebrannt.
Hell und Dunkel deines Lebens
sind ein Ruf nach Haus,
und noch immer weichst du Seiner Liebe aus .
Heute, wenn Sein Wort dich trifft,
so halt ihm endlich still;
brich mit dem Vergangnen,
sprich zu Gott: Ich will!
Und das ,Todesurteil 
das auf deinem Leben stand,
wird gelöscht von Gottes guter Vaterhand",neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgwSX3yTtMe2hQlPm5d4AaABAg,2022-03-30T21:59:39Z,Orklord 666,"Kurz war einer der Wiederwärtigsten Politiker den dieses Land jemals sah !
Möchte nicht wissen was der alles angestellt hat um sich zu bereichern oder sich Freunde zu machen die Macht und Geld haben, aber vielleicht wird er ja genauso dran kommen wie Strache oder so viele ÖVP Leute die scheinbar unglaublich viel Dreck am Stecken haben. 
Währe unsagbar intressant was auf den Festplatten war die geschrädert wurden !!!! Die Justizbehinderung der ÖVP ist sowieso Beispiellos ( warum fragt man sich da als Bürger - solch eine Partei hat jedes Recht auf Stimmen verloren )

PS.: Nein ich bin kein FPÖ Wähler und würde dies auch für kein Geld der Welt tun, denn die sind die einzigen die ich als noch Abstossender empfinde !
Mit freundlichen Grüssen, ein Demokratischer Österreicher.......",neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugw-HFatJ5u62BZwxaN4AaABAg,2022-03-25T09:02:15Z,Roland Gruber,"Chats beweisen, dass Kurz für Wolf interveniert hat. Daher haben wir heute eine Strafanzeige eingebracht",neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugz7LMUh8tHJo5MwHG54AaABAg,2022-02-27T09:25:15Z,immerrecht,"Für was bedankt ihr euch, Gott seit ihr alle blöd.",negative
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyUTJ0oOCVgVqe-HOV4AaABAg,2022-02-23T19:41:21Z,Mr Kaluten Sensei,Uns des Geld us der Tasche ziehen und Dan in die USA fliehen. Danke für garniz,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugzh4lkGvCB-5oxbMup4AaABAg,2022-02-13T11:24:51Z,CRIME SOUND,Zuletzt als Schauspieler,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugw5djSDFqHpgWy2HjZ4AaABAg,2022-02-12T15:39:24Z,Mauty,"Stimmt es also doch, Thiel. Eine reine Enttäuschung Du bist",neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgzCUe7JcoGavSCDtJ14AaABAg,2022-02-08T10:01:38Z,M Cassis,"Soziopathen/Psychopathen haben kein kleines oder schwaches Gewissen, sondern ihr Gewissen ist nicht messbar, weil es gar nicht existiert. Manche bewegen sich wie Aliens, die in einer unbekannten Welt gelandet sind. Sie sind besonders robuste, widerstandsfähige Individuen. 

Sie lassen sich von Zwischenmenschlichem nicht ablenken. Dadurch überrunden sie andere und schaffen es oft in hohe Positionen. Damit sie für soziale Wesen gehalten werden, eignen sie sich entsprechendes theoretisches Wissen an. Um den Anschein zu erwecken, dass sie fähig zu Empathie und Reue sind, oder auch, um ggf. das Mitleid anderer zu erwecken, schauen sie sich das entsprechende Verhalten von Normalos ab, ahmen es nach und setzen es für ihren jeweiligen Zweck ein. 

Erst einmal sind es stille Schmarotzer. Legt ihnen eine Umgebung/Gesellschaft ideale Bedingungen vor, so werden fast alle in kürzester Zeit zu Raubtieren. Sie gehen gegen jeden vor, der sich ihnen in den Weg stellt. Dazu bestechen sie Anhänger und erpressen und verleumden Gegner. Sie bedienen sich psychologischer Techniken wie zB Gaslighting, um Widersacher glauben zu lassen, sie seinen verkehrt oder verrückt oder hätten sich zu entschuldigen. Ihre eigenen Taten, ihr eigenes Fehlverhalten werfen sie eins zu eins anderen vor. Sie führen Notstände herbei, verursachen absichtlich Leid, um dann als Retter aufzutreten. Sollten sie an einer Stelle verlieren, wenden sie sich ohne zu reflektieren, ohne Bedauern, sofort dem nächsten Betätigungsfeld zu. 

Dabei würde kein Fachmann einem nicht offensichtlich gewalttätig bzw. straffällig gewordenen Klienten Psychopathie oder Soziopathie unterstellen wollen. Die meisten Psychopathen, die sich untersuchen lassen, werden andere Diagnosen bekommen, wie zB ADHS, Autismus oder eine narzisstische Persönlichkeit. 

Psychopathen werden darum meist nur von jenen Mitgliedern der Gesellschaft erkannt, welche mit ihrer Spezies bereits Bekanntschaft gemacht haben.",neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgwdkdMCmASuhbflZcl4AaABAg,2022-02-08T04:35:48Z,Thomas Boyd,Art Bezrukavenko still runs Austrian government Thomas. Three Arrows German socialist he SPD German government in Berlin Germany Thomas.,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgzVrIl8A7m4BlIEzv54AaABAg,2022-01-29T10:51:32Z,krasskurwa,Gott sei dank ist er weg und richtet nicht noch mehr Schaden an!,negative
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugx2OGDaKqVL8bX_oVB4AaABAg.9XgjsxJFv4O9nsV_Uzo_pk,2023-03-30T08:21:45Z,Léo Mutombo,https://www.youtube.com/watch?v=fK04nsYjp-U,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugx2OGDaKqVL8bX_oVB4AaABAg.9XgjsxJFv4O9Xp-yQFMlaP,2022-01-30T10:54:07Z,animegeek96,Er arbeitet nun bei Thiel Capital.,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,Ugz-ZgEkh7SfB7k4Um14AaABAg,2022-01-27T05:48:35Z,Nataalija Kovalenko,Entrueckung der Kirche ist durch grosse Bekehrung zum Gott sogleich moeglich.,neutral
UCAa7V7ZM0_hhszN_GYEl0Sg,fcmihz0gz_k,UgyBLzv0YFtLEPNaKkp4AaABAg,2022-01-27T02:45:51Z,Minak_Remix,Sehr gut seit du da bist sind überall sogar in der Schulen auch in Polizei alle Rassisten haben das sagen ich habe an Bundesministerium an Innenministerium Aussenministerium Aufnahmen Videos  Betreff Rassismus geschickt  wo Rassismus ein und deutlich erkennbar waren alles wurde sauber gemacht gelöscht und gesagt  Video haben wir nicht bekommen Video Kam spät  ich hoffe deine Kind erlebt auch genaue  Diskriminierungen wie unsere Kinder irgendwann hoffe ich das die Karma zurück zu dir kommt  ich hoffe für die Menschheit das nicht mehr solche rassistische sonder menschliche Menschen als Regierung kommen und wirklich sich nach dem Menschenrechtgesetzt  Menschenrechte halten,neutral
