channel_id,video_id,comment_id,date,author,comment_text
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugzq6x5ZKDhQCeDOS6Z4AaABAg.9khq7aMWitA9khrKC-EZiq,2023-01-10T15:34:40Z,𝒀𝒖𝒌𝒊ʚ♡ɞ•ᴗ•𝒀𝒂𝒖,"We don't want to stay in prison to suffer anymore.... T_T Hope for Release very soon (it's a fact that corruption can kill criminals' humanity, psychopathssss XD)"
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugzq6x5ZKDhQCeDOS6Z4AaABAg.9khq7aMWitA9khqeeoGebt,2023-01-10T15:28:52Z,𝒀𝒖𝒌𝒊ʚ♡ɞ•ᴗ•𝒀𝒂𝒖,"I always could not get the meanings of other politicians, so i delivered my own words for them, lol 😆"
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugw30-xqeeo1EImms8J4AaABAg,2023-01-10T15:10:40Z,𝒀𝒖𝒌𝒊ʚ♡ɞ•ᴗ•𝒀𝒂𝒖,"Incredible Real Leader Sebastian Kurz (◕ᴗ◕)👍 I have learned a lot from you, you have such clear vision about the crux of global problems, and the ambition to solve them properly."
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugy-LbAoYv38OKf6aKN4AaABAg,2022-03-14T17:41:50Z,Sani,Ja ja its easy talk when get montly 500.000 $ this guy wash dish at home anythink else
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,UgzQtoO9AbTlf5Gk-NR4AaABAg,2021-10-21T19:27:14Z,Alex Cio,"not bad,
kurz aber knapp ^^"
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugzp_-14ptT5oXkjX4F4AaABAg,2021-09-25T14:58:49Z,Roland Gruber,Was interessant wäre: gibt es auch ein Foto in der großen Bildsammlung von Thomas Schmid?
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugw9-P6a8FvTB5eRZLR4AaABAg,2021-09-19T11:40:26Z,Lili L,👎🏽👎🏽👎🏽
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,UgwHzsaRgzkubmKysaJ4AaABAg,2021-08-28T02:21:55Z,Mario Golker,Kurz Furz..
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugwn1p6ox7mOWLrKifJ4AaABAg,2021-08-25T04:57:05Z,Lucas.,WER KAU SI DES GEBN??
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,UgyP2phTCzgPhp4v5IB4AaABAg,2021-08-23T02:02:29Z,chris,Pfui daibel ÖVP nieee wieder und Hr Kurz sie und Ihre unfähigen Schergen  werden auch noch die Rechnung bekommen vom Volk das ist Gewiß! Lebenslange Haft!!
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugwm0VpvTHPh_K1BZyJ4AaABAg,2021-08-18T23:24:40Z,chris,Hoffentlich ist diese Covid Panikmache und Impfzwangs Partei bald Geschichte pfui daibel .
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,UgyboWu9VRpKL2bzuS14AaABAg,2021-08-14T19:36:07Z,Coop LeX,"Die weitaus schlimmere Pandemie die hier künstlich mit druck hergestellt wurde ist: Das Verlorene Vertrauen. 

Hierfür gibt es keinen Impfstoff.. kein Heilmittel.. und eigentlich NICHTS was derzeit in der Lage wäre das Vertrauen aufrecht zu halten. 

Ich habe mehr sorge darum, keinem Institut mehr zu Vertrauen als dass ich an Corona erkranke/sterbe."
UCAa7V7ZM0_hhszN_GYEl0Sg,_C0cG-5lhdE,Ugy8vnT0bP-buHgVBO94AaABAg.9Qz9aCXcIN19ZcgJmomVrG,2022-03-16T09:05:34Z,Tomas Luegger,WAS BITTE WILL DER TROTTEL ARBEITEN? DER HAT REIN GAR NICHTS GELERNT - EIN SCHULABBRECHER OHNE BERUFSAUSBILDUNG
